date,provider,total_cost,service_count,max_service_cost,cost_std,has_anomaly,anomaly_count,rolling_mean_7d,rolling_std_7d,rolling_mean_14d,rolling_std_14d,rolling_mean_30d,rolling_std_30d,upper_bound_2sigma,lower_bound_2sigma,z_score
2023-01-01,AWS,1677.7578,9,666.6515,191.34714149418332,False,0,1677.7578,0.0,1677.7578,0.0,1677.7578,0.0,1677.7578,1677.7578,0.0
2023-01-01,Azure,1538.2276000000002,9,576.8228,160.98803763733332,False,0,1538.2276000000002,0.0,1538.2276000000002,0.0,1538.2276000000002,0.0,1538.2276000000002,1538.2276000000002,0.0
2023-01-01,GCP,1469.6512,9,551.3896,161.67860011111378,False,0,1469.6512,0.0,1469.6512,0.0,1469.6512,0.0,1469.6512,1469.6512,0.0
2023-01-02,AWS,2418.0516,9,922.9821,262.1307543495326,False,0,2047.9047,523.4667660503575,2047.9047,523.4667660503575,2047.9047,523.4667660503575,3094.838232100715,1000.9711678992851,0.7071067811851967
2023-01-02,Azure,2225.5225,9,823.4354,230.12304085616773,False,0,1881.87505,485.99088446493,1881.87505,485.99088446493,1881.87505,485.99088446493,2853.8568189298603,909.8932810701401,0.7071067811850925
2023-01-02,GCP,2074.0194,9,752.24,219.9866129852337,False,0,1771.8353000000002,427.3528525535076,1771.8353000000002,427.3528525535076,1771.8353000000002,427.3528525535076,2626.5410051070153,917.129594892985,0.7071067811848928
2023-01-03,AWS,2452.4758,9,978.8298,280.82364752663034,False,0,2182.7617333333333,437.68480199569785,2182.7617333333333,437.68480199569785,2182.7617333333333,437.68480199569785,3058.131337324729,1307.3921293419376,0.6162289972972417
2023-01-03,Azure,2269.7698,9,795.2563,223.00335227383977,False,0,2011.1733000000002,410.1800607668417,2011.1733000000002,410.1800607668417,2011.1733000000002,410.1800607668417,2831.5334215336834,1190.813178466317,0.6304462959899049
2023-01-03,GCP,2074.1603,9,731.7879,216.69720565814936,False,0,1872.6103000000003,348.97282439727303,1872.6103000000003,348.97282439727303,1872.6103000000003,348.97282439727303,2570.5559487945466,1174.6646512054542,0.5775521356069157
2023-01-04,AWS,2820.6344000000004,9,1182.3583,342.6914121215572,False,0,2342.2299000000003,478.99099711663337,2342.2299000000003,478.99099711663337,2342.2299000000003,478.99099711663337,3300.2118942332672,1384.2479057667335,0.9987755571166002
2023-01-04,Azure,2546.1244,9,994.3129,282.721701817328,False,0,2144.911075,428.6120522666884,2144.911075,428.6120522666884,2144.911075,428.6120522666884,3002.1351795333767,1287.6869704666233,0.9360756956722802
2023-01-04,GCP,2273.8168,9,850.2902,248.3094590303219,False,0,1972.911925,348.4676245446184,1972.911925,348.4676245446184,1972.911925,348.4676245446184,2669.847174089237,1275.9766759107633,0.863508842155315
2023-01-05,AWS,2798.2969000000003,9,1106.8611,320.35921248572976,False,0,2433.4433,462.2485296752062,2433.4433,462.2485296752062,2433.4433,462.2485296752062,3357.940359350412,1508.9462406495875,0.7893018075267246
2023-01-05,Azure,2592.2263,9,948.6569,267.2583518309723,False,0,2234.37412,421.6626621062825,2234.37412,421.6626621062825,2234.37412,421.6626621062825,3077.699444212565,1391.048795787435,0.8486693562375521
2023-01-05,GCP,2339.8956000000003,9,897.2213,263.9517029784,False,0,2046.3086600000001,343.522441130311,2046.3086600000001,343.522441130311,2046.3086600000001,343.522441130311,2733.353542260622,1359.2637777393782,0.8546368587540892
2023-01-06,AWS,2829.0533,9,1127.9006,326.7534499537538,False,0,2499.3783000000003,443.8733016295438,2499.3783000000003,443.8733016295438,2499.3783000000003,443.8733016295438,3387.1249032590877,1611.6316967409127,0.7427232022943417
2023-01-06,Azure,2640.0950000000003,9,990.8006,283.5154347844198,False,0,2301.9942666666666,411.9155567625174,2301.9942666666666,411.9155567625174,2301.9942666666666,411.9155567625174,3125.8253801917012,1478.163153141632,0.8208010787207021
